wl,n
0.0496,0.730
0.0512,0.730
0.0528,0.730
0.0537,0.730
0.0549,0.730
0.0558,0.730
0.0569,0.730
0.0579,0.730
0.0585,0.730
0.0590,0.730
0.0602,0.730
0.0605,0.730
0.0620,0.730
0.0636,0.730
0.0652,0.730
0.0689,0.730
0.0729,0.730
0.0775,0.730
0.0826,0.748
0.0886,0.759
0.0954,0.780
0.1033,0.822
0.1127,0.873
0.1181,0.875
0.1246,0.995
0.1305,1.076
0.1370,1.047
0.1459,0.943
0.1540,0.872
0.1653,0.944
0.1771,1.054
0.1837,1.200
0.1893,1.301
0.1937,1.207
0.2066,1.309
0.2101,1.327
0.2138,1.348
0.2175,1.385
0.2214,1.444
0.2254,1.543
0.2296,1.778
0.2339,2.249
0.2384,2.825
0.2431,3.342
0.2480,3.661
0.2530,3.844
0.2583,4.062
0.2638,4.181
0.2695,4.113
0.2755,3.978
0.2818,3.867
0.2883,3.792
0.2952,3.754
0.3024,3.752
0.3100,3.790
0.3179,3.890
0.3263,4.196
0.3351,5.149
0.3444,5.406
0.3542,5.050
0.3647,4.751
0.3757,4.518
0.3875,4.339
0.3999,4.196
0.4133,4.081
0.4275,3.990
0.4428,3.919
0.4592,3.805
0.4769,3.691
0.4959,3.605
0.5166,3.535
0.5391,3.474
0.5636,3.421
0.5904,3.375
0.6199,3.334
0.6525,3.295
0.6888,3.262
0.7293,3.234
0.7749,3.209
0.8266,3.178

wl,k
0.0496,0.122
0.0512,0.141
0.0528,0.162
0.0537,0.169
0.0549,0.167
0.0558,0.174
0.0569,0.187
0.0579,0.193
0.0585,0.197
0.0590,0.195
0.0602,0.190
0.0605,0.188
0.0620,0.180
0.0636,0.192
0.0652,0.213
0.0689,0.269
0.0729,0.323
0.0775,0.537
0.0826,0.628
0.0886,0.718
0.0954,0.825
0.1033,0.938
0.1127,1.040
0.1181,1.104
0.1246,1.224
0.1305,1.183
0.1370,1.151
0.1459,1.224
0.1540,1.401
0.1653,1.652
0.1771,1.876
0.1837,1.968
0.1893,1.896
0.1937,1.836
0.2066,2.690
0.2101,2.803
0.2138,2.934
0.2175,3.096
0.2214,3.297
0.2254,3.556
0.2296,3.889
0.2339,4.168
0.2384,4.170
0.2431,3.975
0.2480,3.631
0.2530,3.358
0.2583,3.096
0.2638,2.712
0.2695,2.371
0.2755,2.180
0.2818,2.090
0.2883,2.058
0.2952,2.063
0.3024,2.100
0.3100,2.171
0.3179,2.303
0.3263,2.562
0.3351,2.451
0.3444,1.368
0.3542,0.819
0.3647,0.568
0.3757,0.426
0.3875,0.337
0.3999,0.275
0.4133,0.224
0.4275,0.183
0.4428,0.118
0.4592,0.027
0.4769,0.011
0.4959,0.006
0.5166,0.004
0.5391,0.002
0.5636,0.000
0.5904,0.000
0.6199,0.000
0.6525,0.000
0.6888,0.000
0.7293,0.000
0.7749,0.000
0.8266,0.000
